Description,TotalSales,AvgProfitMargin,TargetBrand
Capt Morgan Silver Spicd Rum,334500.85,30.41458186,No
La Crema Pnt Nr Sonoma Cst,323546.96,27.7033541,No
Tullamore Dew,515048.35,17.19996908,No
WhistlePig 10 Yr Old Rye,417229.41,49.14497557,No
Ch Beauchene Cotes du Rhone,391223.66,34.91878108,No
Clos du Bois Cab Svgn N Cst,352579.31,35.13567203,No
Toasted Head Chard,360783.42,37.00830543,No
Joel Gott Cab Svgn 815,339061.28,33.10455266,No
Cupcake Chard,350764.84,35.48641876,No
DeKuyper Triple Sec,530040.68,25.02540207,No
Cupcake Prosecco,439565.18,33.17012141,No
Stolichnaya Ohranj,396807.19,25.44022448,No
Jim Beam Black,361264.41,32.5686259,No
Blantons Sgl Barrel Bourbon,302732.61,27.39637464,No
Ciroc Red Berry Vodka,561667.04,28.13964634,No
Finlandia Vodka,405888.66,23.08665335,No
Calico Jack Spiced Rum,343902.62,26.0823563,No
J & B Rare,345788.38,27.21122897,No
Whitehaven Svgn Bl Marlboro,321940.23,32.60534727,No
Franzia Tap Chard,347563.54,37.84487291,No
1800 Silver Tequila,701881.81,33.72690854,No
R M Woodbridge Merlot Cal,446225.41,40.8101715,No
Ezra Brooks,418630.59,32.02163832,No
B & B Liqueur Dom,322338.36,29.41064782,No
Sauza Extra Gold Tequila,295923.92,25.32557122,No
Ciroc Peach Vodka,535435.5,30.67471605,No
Josh Cellars Chard,312371.37,32.19148093,No
Alamos Ridge Malbec Mendoza,382832.11,44.95340268,No
Johnnie Walker Double Black,276954.1,24.28972165,No
Yellow Tail Cab Svgn Ausl,358596.64,37.62210163,No
Ryans Irish Cream,468944.04,28.367852,No
Taaka Vodka,284147.5,27.37214299,No
Beringer Classic Wh Znfdl,567350.13,37.47060277,No
Ciroc Snap Frost Vodka,614624.69,26.8482834,No
Stolichnaya Blueberi,444453.81,29.59725776,No
Yellow Tail Pnt Grigio Ausl,361385.6,38.00265946,No
Dom Chandon Brut Cuvee,312343.97,34.65203442,No
Cupcake Pnt Grigio,335460.35,39.16359713,No
Gilbeys Vodka Traveler,276249.33,26.1649612,No
Black Box Pnt Grigio,379803.54,36.98363329,No
Carnivor Cab Svgn,335379.21,39.34007716,No
Ch Ste Michelle Cab Svgn Col,344457.47,41.09459435,No
Balvenie 14 Yr Caribean Cask,299856.37,33.18510459,No
Ferrari-Carano Chard,295359.45,32.21584073,No
Korbel Brut,351434.29,30.01415991,No
Crown Royal +2 Reusable Cups,214036.9,6.805704998,No
Crown Royal Canadian Whisky,247039.74,19.57137746,No
Kendall Jackson RSV Svgn Bl,314527.77,37.1953707,No
Bacardi Gold Rum,597005.62,28.74843264,No
Sterling Vintners Cab Svgn C,329861.74,40.20280133,No
Campari,278457.15,29.34124694,No
Stags Leap Artemis Cab Svgn,306724.45,36.22604263,No
Cruzan Aged Dark Rum,342683.35,26.52398647,No
F Coppola Dmd Ivry Cab Svgn,293349.46,33.40426807,No
J Lohr Seven Oaks Cab Svgn,454423.47,42.95804871,No
Old Smuggler P E T,266925.97,27.4513454,No
Franzia Crisp White Tap,312013.94,38.25820731,No
Ch Montaud Cotes de Prov Rse,328398.06,41.36902027,No
Old Crow,348058.25,29.43991677,No
Rumpleminze,496350.64,24.66073461,No
Cupcake Svgn Bl,361343.84,46.98446222,No
Tortilla Gold Tequila Liquer,258592.57,25.97306257,No
Sauza Blanco Tequila,208875.83,8.358970973,No
Yellow Tail Shiraz Ausl,345336.02,37.82313168,No
Simi Chard,341002.63,44.05310598,No
Cutty Sark,287085.78,25.86620849,No
St Germain Liqueur,307930.26,50.03653033,No
Dalwhinnie 15-Yr Single Mal,247565.39,24.35269728,No
Mr Boston Light Rum,290202.84,31.11523193,No
Pinnacle Citrus Vodka,233895.04,20.06958335,No
Yellow Tail Merlot Ausl,346866.29,40.1692378,No
Almaden Chard Cal B/B,299322.23,37.87027445,No
A to Z Pnt Nr Ore,224192.78,17.17086072,No
Jim Beam Traveler,550753.77,35.4484997,No
Baileys Irish Cream w/4 Glss,241001.44,23.01207827,No
Yukon Jack,460357.1,32.72770484,No
Patron Anejo Tequila,353800.9,19.93037463,No
Dr McGillicuddy's Root Beer,299982.46,41.06754859,No
Perrier Jouet Grand Brut,261139.72,24.64972956,No
Bacardi Limon Rum,388625.96,33.24317364,No
M & R Asti,381845.67,34.60252861,No
Eagle Rare Single Barrel Bo,257336.98,29.88318274,No
Kris Pnt Grigio Alto Adige,308789.51,41.63869103,No
Ecco Domani Pnt Grigio Venez,270058.6,33.56481889,No
Kraken Black Spiced Rum,546076.19,37.46681731,No
Jose Cuervo Lime Margarita,324462.53,28.70796379,No
R M Woodbridge Chard,288099.95,35.45007012,No
Johnnie Walker Green Label,192003.28,7.360457592,No
Ghost Pine Cab Svgn LMartini,303925.04,41.65950591,No
DeKuyper Peachtree Schnapps,243751.03,21.88317982,No
Bogle Cab Svgn Cal,258987.15,32.70740653,No
L Martini Cab Svgn Sonoma,288466.55,39.67625016,No
Milagro Silver Tequila,420683.99,29.45749975,No
R M Woodbridge Pnt Nr,289571.31,40.74716863,No
Don Julio Anejo Tequila,196544.39,12.85864226,No
Frangelico Hazelnut Liqueur,353548.64,32.07717268,No
Barefoot Pnt Grigio Cal,400105.54,37.38962998,No
Barefoot Bubbly Brut Cve,257728.91,33.94912507,No
Deep Eddy Ruby Red,218911.44,22.41706509,No
14 Hands Cab Svgn Wash,273570.44,38.22745981,No
Hennessy XO Cognac,218786.88,23.13721463,No
Jim Beam Apple,341462.06,16.3505715,No
Seagrams Extra Smooth Vodka,229023.25,27.03858669,No
Bowman Vodka,229056.21,27.14283974,No
Franzia Sunset Blush Tap,252407,34.23244205,No
Clos du Bois Pnt Nr Cal,232387.49,29.02628278,No
Kendall Jackson Pnt Nr Vtnr,216815.21,23.97512149,No
Don Julio Blanco Tequila,204226.72,19.35286431,No
Baileys Irish Cream Mini's 4,245204.17,32.88153297,No
Jose Cuervo Golden Margarita,236196.4,30.44104398,No
Seagrams Extra Dry Gin,293826.12,26.32343837,No
Kendall Jackson Avant Chard,248151.38,35.46963954,No
Ron Virgin Heavy Bodied Rum,255440.34,22.88381029,No
U V Vodka,230982.93,30.96388551,No
Black Box Merlot Cal,281227.38,43.37692866,No
Baileys Salted Caramel,231267.08,31.25947714,No
Simi Cab Svgn,262676.49,39.50558727,No
Sterling Vintners Cltn Chard,258456.59,39.14986265,No
Apothic Dark,243756.84,35.56915572,No
Arrow Coffee Brandy,313194.52,28.12917841,No
Ronrico Silver Rum,217821.25,28.06894604,No
Ch Ste Michelle Rsl,259038.34,39.91672816,No
Pallini Limoncello Liqueur,253399.66,23.24806422,No
Ch St Jean Chard California,251277.02,38.22755459,No
Johnnie Walker Gold Rsv,172043.81,9.82814203,No
Barr Hill Gin,175066.06,19.06786556,No
Capt Morgan White PET,220629.67,29.85822804,No
Calypso Spiced Rum,189110.7,18.17693023,No
1800 Reposado Gold Tequila,511933.9,26.56187627,No
Stolichnaya Vanil,359252.27,24.21338283,No
Knob Creek Smoked Maple,185815.88,17.27144096,No
Makers 46,212185.04,27.55854984,No
Patron Citronge Orange Liqu,210796.13,28.03617884,No
Villa Cornaro Prosecco Del,258911.62,41.60062804,No
F Coppola Diamond Chard,209370.09,27.83453453,No
Bread & Butter Chard,221166.75,31.77141229,No
Silver Oak Cab Svgn Alex Vly,229163.53,34.15562241,No
Freakshow Cab Svgn,254650.63,40.83865412,No
Absolut Ruby Red,299239.07,23.56891824,No
DeKuyper Peachtree Trav,205463.74,26.74880736,No
Da Vinci Chianti Tuscany,216780.8,30.63005119,No
W Hill Est Chard N Coast,176611.99,14.91451968,No
19 Crimes Red,195851.1,23.33972594,No
Tanqueray Rangpur Gin,265131.66,28.22768216,No
Wild Turkey,256075.66,16.15942403,No
Ciroc Pineapple Vodka,402711.77,42.65621345,No
Goslings Black Seal Rum 80,212285.18,29.89479529,No
Cupcake Red Velvet,232214.66,36.07717532,No
Duckhorn Decoy Pnt Nr,228007.94,34.9353448,No
Absolut Mandrin,314932.26,27.77233988,No
Zhenka Vodka Plastic,198872.26,25.9897132,No
Sambuca Romana Liqueur,187794.31,21.87584384,No
Popov Vodka,204709.41,28.35643462,No
Knob Creek Single Barrel Rsv,182518.12,19.84218334,No
Cabo Wabo Blanco Tequila,212452.59,31.16445415,No
Goldschlager Cinnamon Schnps,207675.78,26.9180185,No
Franciscan Cab Svgn Napa,235731.91,39.10829467,No
Pinnacle Tropical Punch,185931.42,22.89844288,No
Godiva Chocolate Liqueur,248209.88,22.39872609,No
Sobieski Vodka,201777.14,49.74712515,No
Espolon Blanco Tequila,204392.95,30.59664729,No
Frescobaldi Chianti RSV Nip,179836.8,21.28743394,No
Bella Sera Pinot Grigio Del,231821.49,39.00341163,No
Dr McGillicuddy's Menth Trav,200642.77,29.69774092,No
Glenfiddich Solera 15-Yr RS,174601.2,19.21705578,No
Dewars White Label Scotch,178592.83,21.10650803,No
Four Roses Bourbon,180430.09,21.96284999,No
The Dreaming Tree Crush Red,238209.55,40.98288671,No
Cakebread Chard,194360.12,27.67849701,No
Zaccagnini Montepulciano Rsv,264292.94,46.89497192,No
Lindemans Bin 65 Chard,216686.68,31.92124556,No
Bogle Phantom Red Cal,211854.54,34.06189926,No
Andre Extra Dry,244003.85,42.76155889,No
Phillips Earthquake Cab Svgn,220169.45,36.68066119,No
Scoresby Rare,210802.32,33.76790178,No
St Elder Elderflower Liqueur,176173.15,59.77846408,No
Booker's Bourbon,181998.5,23.68878315,No
Korbel X Dry,222205.4,31.10447227,No
Vanya Light Vodka,181795.17,23.65952297,No
Emmets Irish Cream,259709.48,23.91181288,No
GranGala Triple Orange,284686.23,27.12813492,No
Zhenka Vodka 100 Proof,202316.99,31.71946657,No
Grey Goose Le Citron Vodka,196332.65,45.90767138,No
Kendall Jackson Vntr RSV Cab,208058.85,33.78798354,No
Da Vinci Pnt Grigio,195680.4,29.87750434,No
Everclear 151,307740.52,27.9133978,No
Roscato Rosso,229235.64,30.31935849,No
Starborough Svgn Bl Marlboro,237069.63,42.57271587,No
Cupcake Cab Svgn,208652.63,34.78538948,No
Franzia Chillable Red Tap,207832.65,34.57514977,No
Talisker 10-Yr Single Malt,166564.47,18.42059714,No
Johnnie Walker Platinum,167302.71,18.89492406,No
Cooks Extra Dry,204172.08,33.59007265,No
The Glenlivet 18 Yr Single,203200.64,33.54132152,No
Black Box Pnt Nr,236148.2,21.5959589,No
Red Stag by Jim Beam,334012.09,30.86841263,No
Banfi Chianti Clsc RSV,219699.09,39.37096417,No
Mumm Brut Prestige,210520.45,36.91759162,No
1800 Coconut Tequila,199138.59,33.44562699,No
Chopin Vodka,353885.88,27.48763064,No
Woodford Rsv Bourbon,194469.7,32.72502606,No
Sonoma-Cutrer Chard RRV,192403.31,32.02109673,No
Peter Vella Chard Cal B/B,189144.58,30.92504157,No
E & J Brandy VS,409534.62,27.30778745,No
Jadot Beaujolais Villages,223331.82,49.48347307,No
Fleischmanns X Dry Gin,177247.95,26.66544239,No
Ch Beauchene Chtnf Pape RSV,184491.55,29.60258071,No
Zhenka Vodka,161690.34,19.74686305,No
Sambuca Romana Black,192403.92,32.6067629,No
Angeline Pnt Nr,223629.58,42.54602634,No
Barefoot Moscato Cal,313410.15,42.35132393,No
Masciarelli Montepulciano,214213.21,40.20916357,No
Kendall Jackson Summation Re,185907.03,31.20966431,No
Glenfiddich 14 Yr Barrel Rsv,145728.39,12.99894276,No
Glen Ellen Cab Svgn RSV,179852.7,29.5869342,No
Bacardi Oakheart Spiced Rum,306032.05,41.32788737,No
Jack Daniels Bruins Glass Pk,138180.5,8.7591954,No
Liberty School Cab Svgn,234406.21,40.11113718,No
Calico Jack Coconut Rum,179783.85,30.16440576,No
Ferrari-Carano Fume Bl,210229.32,40.49220632,No
Midori Melon Liqueur,195806.78,14.93301562,No
Knob Creek Rye,125361.73,0.473334246,No
Justin Cab Svgn Paso Robles,204836.73,39.09291561,No
Frei Bros RSV Chard RRV,210627.53,40.80317991,No
Black Box Malbec,203177.05,38.72789766,No
Franzia Tap Cab Svgn,190349.34,34.60465899,No
Deep Eddy Lemon Vodka,154388.54,9.865682285,No
Wild Turkey American Honey,276462.43,25.86482953,No
Reyka Vodka,258420.64,33.13391267,No
Franzia Tap Merlot,188836.31,34.92844676,No
Midnight Moon Apple Pie,223042.94,34.34031541,No
Jim Beam Maple,195832.65,47.92080417,No
Smoking Loon Cab Svgn,193019.74,36.38149652,No
Corbett Canyon Pnt Grigio,215194.76,23.27152794,No
Redbreast Irish Whiskey,175424.18,30.48080373,No
Jim Beam Honey,286414.34,21.16768962,No
Cavit Pinot Noir Delle Vene,219943.67,36.45703132,No
Angels Envy Whiskey,160767.84,24.32908223,No
Franzia Tap Wh Znfdl Cal,202573.38,39.97815014,No
Kendall Jackson Grand Rsv Ch,184705.82,34.29378674,No
Canadian Regal,167333.36,27.57982031,No
Ice 101 Peppermint Schnapps,162437.53,25.3982254,No
The Dreaming Tree Cab Svgn,192234.14,37.00490454,No
Kapali Coffee,215877.19,20.63910969,No
Taittinger Brut La Francais,173745.35,30.50077024,No
Joseph Carr Cab Svgn Napa,194304.61,37.9915793,No
Ardbeg 10 Yr Single Malt Sc,139529.88,14.00196144,No
F Coppola Diamond Pnt Nr,203144.57,40.98106585,No
Mr Boston Blackberry Brandy,231536.2,26.50280995,No
Firesteed Pnt Nr Ore,188405.93,36.4164387,No
Barefoot Chard Cal,293247.09,40.15813756,No
Jadot Pouilly Fuisse,188476.26,36.59244936,No
Menage a Trois Midnight,196130.54,39.11667199,No
Fleischmanns Preferred,169830.4,29.92122141,No
E & J Superior RSV VSOP,339024.71,24.21443133,No
Capt Morgan White,364780.94,38.68201501,No
Bacardi Gold Rum Traveler,213320.77,44.53872448,No
Ketel One Citroen Vodka,171095.79,31.93128275,No
Beringer Classic Chard,252971.05,38.20567138,No
Sauza Blue Silver Tequila,154464.25,24.56506926,No
Brancott Svgn Bl Marlboro,203016.11,42.67314057,No
Smirnoff Vanilla Vodka,452120.64,30.09372107,No
Christian Bros Brandy,173593.72,33.09471103,No
Rebel Yell,147438.69,21.51039866,No
Smoking Loon Chard,176844.86,34.73214885,No
Angeline Pnt Nr Rsv,190470.9,39.77385522,No
Patron Reposado Tequila,203011.7,16.91118394,No
Firefly Sweet Tea Vodka,289921.77,24.60961751,No
